Nome,GIF
"Doppio Dumbbell Curl Hold","https://lh3.googleusercontent.com/d/1etPpoMjg-0B-QMRcQgbZHL68B6jot83g"
"Doppio Dumbbell Deadlift","https://lh3.googleusercontent.com/d/1zt0hXjsgXifzdgBuRLOyVAJ4nm8hMLw7"
"Hang Clean","https://lh3.googleusercontent.com/d/1p0Cf__I--ZEy63ePGF3gm0_JxLC32UYI"
"Doppio Dumbbell Push Press","https://lh3.googleusercontent.com/d/1PwHig8vnu5P8-dArsQjRkrwolo8XRvoG"
"Doppio Dumbbell Reverse Lunges","https://lh3.googleusercontent.com/d/1nk5MXaRWQEddBPSlNURY47YVovD2QZYv"
"Doppio Dumbbell Shoulder Press","https://lh3.googleusercontent.com/d/1w5LehGudy----EFAMgOqbvXwVF-crdJd"
"Doppio Dumbbell Thruster","https://lh3.googleusercontent.com/d/1Eg_5vtpfOwMJVPBCYalgtjB_Elo6Nmtj"
"Doppio Kettlebell Sumo Deadlift","https://lh3.googleusercontent.com/d/1hDvC3OrtoTY_wj_64E31ra7akw9aWhI3"
"Doppio Kettlebell Swing","https://lh3.googleusercontent.com/d/1cWkgb1GQ-2IEtOstb5S5ahkLiIh4SPDF"
"Due Push Up Burpees","https://lh3.googleusercontent.com/d/1mc59A2KigEkVw5Uh9KW7kdhK32ay6zYv"
"Dumbbell Clean Alternato","https://drive.google.com/file/d/1DudLZUrNCaAy5kQjvLYuyZGMLKNh_IVp/view?usp=sharing"
"Dumbbell Clean Destra","https://drive.google.com/file/d/1DudLZUrNCaAy5kQjvLYuyZGMLKNh_IVp/view?usp=sharing"
"Dumbbell Clean Sinistra","https://drive.google.com/file/d/1DudLZUrNCaAy5kQjvLYuyZGMLKNh_IVp/view?usp=sharing"
"Hang Snatch Alternato","https://lh3.googleusercontent.com/d/17ROV91HI7DqKnaP6PjyRyewQukvz96-W"
"Dumbbell Hang Snatch Destra","https://lh3.googleusercontent.com/d/1n1pio2YTrwSLuKa9cmoiFOr_9fMhPikF"
"Dumbbell Hang Snatch Sinistra","https://lh3.googleusercontent.com/d/1IWwI03gcUeVm3CEt4cBju58uaMqbfEkF"
"Snatch Destra","https://lh3.googleusercontent.com/d/135AEhIdlMIUCD3DrUqZN8tidIIgynjhc"
"Snatch Sinistra","https://lh3.googleusercontent.com/d/1AlB7CRMJCQwUp7yEQfqZHXr6SaTkwLVu"
